"#","Reference","Qty","Value","Footprint","DNP"
"1","J1","1","Male 14P 2.54mm","Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical",""
"2","J2","1","Female Angled 2.0mm","Connector_PinSocket_2.00mm:PinSocket_2x07_P2.00mm_Horizontal",""
